City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,18.86,74,100,9.14,PN,1694911475
1,tralee,52.2704,-9.7026,12.04,91,100,2.21,IE,1694911476
2,port-aux-francais,-49.35,70.2167,5.7,96,100,15.29,TF,1694911476
3,bathsheba,13.2167,-59.5167,28.34,78,20,1.03,BB,1694911477
4,quesnel,52.9999,-122.5029,18.28,63,0,0.0,CA,1694911209
5,taro,-8.3862,115.28,23.0,80,50,1.89,ID,1694911478
6,edinburgh of the seven seas,-37.0676,-12.3116,12.64,80,100,13.09,SH,1694911478
7,i-n-salah,27.1935,2.4607,32.84,9,0,6.62,DZ,1694911478
8,talnakh,69.4865,88.3972,0.67,89,47,2.3,RU,1694911479
9,georgetown,5.4112,100.3354,27.96,87,20,1.54,MY,1694911326
10,puerto natales,-51.7236,-72.4875,-0.25,88,27,0.46,CL,1694911480
11,pangody,65.85,74.4859,7.46,78,100,4.15,RU,1694911480
12,siirt,37.9326,41.9403,19.86,21,0,0.67,TR,1694911480
13,waitangi,-43.9535,-176.5597,14.34,83,100,4.92,NZ,1694911481
14,blackmans bay,-43.0167,147.3167,13.18,56,2,7.44,AU,1694911481
15,arica,-18.475,-70.3042,19.13,72,0,1.54,CL,1694911482
16,longyearbyen,78.2186,15.6401,-2.09,80,75,2.06,SJ,1694911482
17,basoko,1.2391,23.616,21.07,97,100,1.58,CD,1694911482
18,khandyga,62.6667,135.6,1.59,98,100,1.42,RU,1694911483
19,bethel,41.3712,-73.414,19.31,81,0,2.06,US,1694911313
20,illela,13.7292,5.2975,26.97,65,100,2.39,NG,1694911484
21,betio village,1.358,172.9211,27.02,81,99,9.13,KI,1694911484
22,atafu village,-8.5421,-172.5159,28.88,76,16,6.12,TK,1694911484
23,targuist,34.9377,-4.3186,18.07,75,12,1.26,MA,1694911485
24,isafjordur,66.0755,-23.124,8.83,94,93,4.08,IS,1694911485
25,garissa,-0.4536,39.6401,23.09,77,62,5.61,KE,1694911486
26,bredasdorp,-34.5322,20.0403,10.77,68,100,5.28,ZA,1694911486
27,taoudenni,22.6783,-3.9836,36.34,23,93,7.94,ML,1694911486
28,karratha,-20.7377,116.8463,28.26,29,53,3.52,AU,1694911487
29,kontagora,10.3999,5.4695,22.74,96,100,1.68,NG,1694911487
30,hamilton,39.1834,-84.5333,21.47,60,75,4.12,US,1694911151
31,arvayheer,46.2639,102.775,5.14,72,97,2.6,MN,1694911488
32,uturoa,-16.7333,-151.4333,25.59,82,20,5.21,PF,1694911488
33,bilibino,68.0546,166.4372,5.27,68,100,0.57,RU,1694911489
34,fortuna,40.5982,-124.1573,19.4,86,0,4.12,US,1694911314
35,margate,51.3813,1.3862,18.28,88,98,2.68,GB,1694911489
36,yellowknife,62.456,-114.3525,19.29,66,40,4.63,CA,1694911490
37,cockburn town,21.4612,-71.1419,28.98,65,40,4.12,TC,1694911490
38,iskateley,67.6803,53.1512,2.21,86,23,1.12,RU,1694911491
39,smithers,54.7804,-127.1743,14.18,47,75,3.6,CA,1694911317
40,kapuskasing,49.4169,-82.4331,16.05,82,75,2.06,CA,1694911491
41,tobol'sk,58.2,68.2667,10.33,81,18,1.38,RU,1694911492
42,ushuaia,-54.8,-68.3,-1.19,100,75,1.54,AR,1694911492
43,natal,-5.795,-35.2094,24.12,88,20,3.09,BR,1694911493
44,yeraliyev,43.2,51.65,20.98,49,100,4.54,KZ,1694911493
45,madalena,41.2162,-8.3345,18.59,76,0,2.38,PT,1694911493
46,opuwo,-18.0607,13.84,20.29,20,0,1.95,NA,1694911494
47,vorgashor,67.5833,63.95,6.96,85,100,2.34,RU,1694911494
48,richards bay,-28.783,32.0377,17.26,81,100,4.35,ZA,1694911495
49,stanley,54.868,-1.6985,12.1,92,75,1.54,GB,1694911496
50,daru,-9.0763,143.2092,26.91,56,86,4.93,PG,1694911497
51,rupert,42.6191,-113.6772,27.97,18,0,3.6,US,1694911498
52,mendoza,-32.8908,-68.8272,21.74,23,0,5.14,AR,1694911233
53,ancud,-41.8697,-73.8203,6.51,84,100,8.34,CL,1694911498
54,berezovyy,51.6667,135.7,18.12,45,5,0.98,RU,1694911499
55,bedesa,8.9,40.7833,17.64,78,97,2.18,ET,1694911499
56,haiku-pauwela,20.9219,-156.3051,31.01,48,20,11.32,US,1694911500
57,margaret river,-33.95,115.0667,13.85,58,89,4.13,AU,1694911500
58,puerto ayora,-0.7393,-90.3518,23.64,91,99,1.34,EC,1694911500
59,saint-germain-en-laye,48.8928,2.079,20.39,86,0,1.54,FR,1694911501
60,college,64.8569,-147.8028,15.99,45,75,4.12,US,1694911501
61,utrik,11.2278,169.8474,28.68,80,88,8.01,MH,1694911502
62,"laikit, laikit ii (dimembe)",1.4792,124.9735,26.47,74,40,1.03,ID,1694911502
63,grytviken,-54.2811,-36.5092,-0.11,95,100,5.57,GS,1694911503
64,cabedelo,-6.9811,-34.8339,24.37,85,100,5.22,BR,1694911503
65,kralendijk,12.15,-68.2667,28.99,79,0,6.69,BQ,1694911262
66,akureyri,65.6835,-18.0878,6.96,93,75,3.09,IS,1694911504
67,tinghir,31.5157,-5.5343,22.78,30,0,2.81,MA,1694911505
68,ajuchitlan del progreso,18.1519,-100.4835,26.31,86,32,1.24,MX,1694911505
69,kargasok,59.0556,80.8572,11.0,83,79,2.04,RU,1694911506
70,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,42,20,8.0,RU,1694911506
71,cles,46.3667,11.0333,16.81,100,51,0.8,IT,1694911506
72,castillos,-34.1667,-53.8333,12.98,81,3,2.11,UY,1694911507
73,west island,-12.1568,96.8225,24.99,78,40,5.14,CC,1694911507
74,mount pearl,47.5166,-52.7813,19.29,97,100,6.17,CA,1694911508
75,kingston,17.997,-76.7936,29.0,89,20,3.6,JM,1694911279
76,ribeira grande,38.5167,-28.7,19.32,76,100,3.13,PT,1694911509
77,trang,7.5,99.5,28.24,100,40,2.06,TH,1694911509
78,kinablangan,7.6947,126.5503,28.33,76,100,1.75,PH,1694911510
79,bavly,54.393,53.2602,14.04,77,80,2.37,RU,1694911510
80,magnitka,55.3475,59.6961,9.99,91,95,0.94,RU,1694911510
81,cedeira,43.6797,-8.0209,16.88,81,0,2.11,ES,1694911511
82,alice springs,-23.7,133.8833,29.75,10,0,6.69,AU,1694911511
83,iqaluit,63.7506,-68.5145,0.85,74,40,4.12,CA,1694911512
84,mahina,-17.5065,-149.489,26.87,74,40,8.23,PF,1694911512
85,bisbee,31.4482,-109.9284,29.11,23,100,1.34,US,1694911513
86,st. john's,47.5649,-52.7093,19.75,97,100,6.17,CA,1694911448
87,grand-bassam,5.2118,-3.7388,24.98,92,100,3.39,CI,1694911514
88,nacala,-14.5428,40.6728,23.01,85,17,3.17,MZ,1694911514
89,jamestown,42.097,-79.2353,13.9,69,92,0.89,US,1694910729
90,glace bay,46.1969,-59.957,20.5,91,75,7.72,CA,1694911515
91,laredo,27.5064,-99.5075,33.16,49,0,2.06,US,1694911459
92,afaahiti,-17.75,-149.2833,25.93,83,81,5.68,PF,1694911516
93,giyani,-23.3025,30.7187,17.94,84,15,3.95,ZA,1694911517
94,tiksi,71.6872,128.8694,0.71,74,96,6.88,RU,1694911517
95,mar del plata,-38.0023,-57.5575,11.72,80,0,0.0,AR,1694911409
96,yaren,-0.5472,166.916,28.97,72,19,3.34,NR,1694911518
97,salekhard,66.53,66.6019,7.14,87,87,3.1,RU,1694911518
98,saipan,15.1355,145.701,29.39,84,40,4.12,MP,1694911519
99,conception bay south,47.4999,-52.9981,19.62,97,100,3.09,CA,1694910876
100,suva,-18.1416,178.4415,28.71,70,40,3.09,FJ,1694911520
101,whitehorse,60.7161,-135.0538,12.79,53,75,9.26,CA,1694911258
102,avarua,-21.2078,-159.775,26.03,65,100,1.54,CK,1694911521
103,aasiaat,68.7098,-52.8699,-0.07,79,99,2.86,GL,1694911521
104,slave lake,55.2834,-114.769,18.99,55,0,3.6,CA,1694911522
105,ust-nera,64.5667,143.2,5.86,67,100,3.15,RU,1694911522
106,nelamangala,13.1022,77.39,21.11,96,94,3.71,IN,1694911064
107,acarau,-2.8856,-40.12,25.62,85,66,6.05,BR,1694911326
108,pandaria,22.2333,81.4167,23.14,93,79,0.45,IN,1694911524
109,port elizabeth,-33.918,25.5701,13.39,62,75,9.26,ZA,1694911524
110,nyurba,63.2842,118.3319,4.2,54,100,3.58,RU,1694911524
111,harriman,35.934,-84.5524,20.57,97,100,3.09,US,1694911525
112,udachny,66.4167,112.4,1.36,100,100,6.21,RU,1694911525
113,basni,27.1667,73.65,26.62,80,88,5.67,IN,1694911526
114,ola,59.5833,151.2833,6.19,88,100,2.95,RU,1694911526
115,yanykurgan,43.915,67.2481,16.33,34,0,4.42,KZ,1694911527
116,novohrad-volynskyi,50.5941,27.6165,10.11,93,0,3.24,UA,1694911527
117,dudinka,69.4058,86.1778,0.9,90,33,2.21,RU,1694911527
118,tabas,33.5959,56.9244,24.21,22,0,3.41,IR,1694911528
119,shevchenko,48.5,35.0,14.8,59,0,1.94,UA,1694911528
120,turki,51.987,43.2731,11.12,83,16,3.52,RU,1694911529
121,port alfred,-33.5906,26.891,13.43,52,100,3.13,ZA,1694911529
122,rotorua,-38.1387,176.2452,18.12,49,0,4.29,NZ,1694911529
123,fale old settlement,-9.3852,-171.2468,28.59,76,2,5.31,TK,1694911530
124,nuuk,64.1835,-51.7216,1.34,93,75,3.09,GL,1694911530
125,nagqu,31.5,92.0,5.07,80,94,2.22,CN,1694911531
126,malpica,43.3228,-8.8105,17.41,63,1,2.72,ES,1694911531
127,rawlins,41.7911,-107.2387,22.94,16,0,3.6,US,1694911383
128,hilo,19.7297,-155.09,30.16,67,40,5.66,US,1694911532
129,hermanus,-34.4187,19.2345,11.56,68,100,5.38,ZA,1694911532
130,severo-yeniseyskiy,60.3725,93.0408,9.06,80,61,0.75,RU,1694911533
131,crane,31.3974,-102.3501,27.64,45,5,5.34,US,1694911533
132,chakulia,22.4833,86.7167,26.24,88,90,0.92,IN,1694911534
133,victoria falls,-17.9235,25.843,20.47,27,0,0.85,ZW,1694910941
134,invercargill,-46.4,168.35,12.79,77,100,2.68,NZ,1694911534
135,hithadhoo,-0.6,73.0833,28.01,77,0,7.09,MV,1694911535
136,kenora,49.8167,-94.4337,15.43,82,75,1.54,CA,1694911300
137,sao vicente,-23.9631,-46.3919,26.26,26,0,1.47,BR,1694911535
138,kongsberg,59.6652,9.6465,6.9,95,5,1.89,NO,1694911536
139,kalemie,-5.9475,29.1947,24.69,55,99,1.6,CD,1694911536
140,tateyama,34.9833,139.8667,27.88,82,10,5.2,JP,1694911537
141,wailua homesteads,22.0669,-159.378,28.44,74,20,5.66,US,1694911537
142,kodiak,57.79,-152.4072,10.73,82,100,4.63,US,1694911538
143,andalgala,-27.5819,-66.3165,24.39,15,0,1.17,AR,1694911538
144,freetown,8.484,-13.2299,25.43,88,100,3.07,SL,1694911539
145,llanes,43.4198,-4.7549,19.75,77,100,2.73,ES,1694911539
146,salinopolis,-0.6136,-47.3561,27.37,79,86,6.26,BR,1694911540
147,dalandzadgad,43.5708,104.425,11.07,49,2,5.12,MN,1694911540
148,westport,41.1415,-73.3579,22.08,72,0,2.57,US,1694910962
149,albany,42.6001,-73.9662,17.47,69,32,3.53,US,1694911542
150,howard springs,-12.497,131.047,28.26,35,8,5.28,AU,1694911542
151,tura,25.5198,90.2201,25.96,87,39,0.91,IN,1694911543
152,varzea da palma,-17.5981,-44.7308,25.77,51,49,3.24,BR,1694911543
153,puerto baquerizo moreno,-0.9,-89.6,22.82,81,100,4.5,EC,1694911544
154,saint-paul,-21.0096,55.2707,21.11,88,0,0.45,RE,1694911534
155,choibalsan,48.0667,114.5,10.83,66,98,2.81,MN,1694911545
156,xilin hot,43.9667,116.0333,14.44,86,100,0.95,CN,1694911545
157,hendrina,-26.1588,29.7153,9.39,34,0,1.43,ZA,1694911546
158,saint-philippe,-21.3585,55.7679,20.77,79,35,5.12,RE,1694911544
159,taulaga,-11.0553,-171.0883,28.3,79,55,7.16,AS,1694911546
160,weno,7.4515,151.8468,28.97,79,100,1.54,FM,1694911547
161,palmer,42.1584,-72.3287,19.23,70,0,1.54,US,1694911547
162,qaqortoq,60.7167,-46.0333,2.8,69,0,7.86,GL,1694911548
163,vernon,50.2581,-119.2691,29.74,22,0,0.0,CA,1694911548
164,lompoc,34.6391,-120.4579,25.01,75,0,7.15,US,1694911548
165,kurumkan,54.3,110.3,13.38,68,94,0.83,RU,1694911549
166,puerto san jose,13.9256,-90.8244,27.92,75,54,0.58,GT,1694911549
167,enewetak,11.3474,162.3373,29.24,77,86,7.01,MH,1694911540
168,laguna,38.421,-121.4238,30.56,54,0,4.63,US,1694911550
169,keflavik,64.0049,-22.5624,8.95,87,100,10.29,IS,1694911550
170,muri,23.3667,85.8667,26.65,85,94,0.51,IN,1694911551
171,rongelap,11.1635,166.8941,28.94,79,90,7.32,MH,1694911551
172,amga,60.8953,131.9608,2.47,66,100,5.38,RU,1694911552
173,brandon,27.9378,-82.2859,29.38,88,0,2.57,US,1694911552
174,kurkino,53.4257,38.6582,8.79,87,9,2.38,RU,1694911552
175,port mathurin,-19.6833,63.4167,22.97,73,2,8.93,MU,1694911553
176,baukau,51.5526,7.2042,19.95,77,98,0.89,DE,1694911553
177,bogra,24.85,89.3667,28.4,78,91,1.66,BD,1694911554
178,surin,14.8818,103.4936,27.73,99,100,3.2,TH,1694911554
179,parabel',58.6978,81.4825,11.1,81,87,1.89,RU,1694911555
180,sosnovo-ozerskoye,52.5249,111.5418,9.79,57,100,1.86,RU,1694911555
181,la ronge,55.1001,-105.2842,22.14,40,20,3.6,CA,1694911555
182,papatowai,-46.5619,169.4708,11.89,64,100,6.22,NZ,1694911556
183,anadyr,64.75,177.4833,5.28,93,75,3.0,RU,1694911556
184,berbera,10.4396,45.0143,32.9,47,19,3.24,SO,1694911557
185,ilulissat,69.2167,-51.1,0.01,93,75,1.54,GL,1694911557
186,lebu,-37.6167,-73.65,8.05,77,70,3.58,CL,1694911257
187,lihue,21.9789,-159.3672,28.77,73,20,5.66,US,1694911558
188,saint croix,17.7397,-64.7388,29.25,85,0,3.6,VI,1694911558
189,vicam,27.6333,-110.2833,33.31,32,0,4.0,MX,1694911559
190,mingora,34.7758,72.3625,21.14,82,9,1.92,PK,1694911493
191,mandera,3.9366,41.867,24.88,59,23,6.32,KE,1694911560
192,hadibu,12.65,54.0333,25.73,82,100,6.45,YE,1694911560
193,thinadhoo,0.5333,72.9333,28.29,74,18,7.22,MV,1694911086
194,homer,59.6425,-151.5483,10.94,84,100,1.54,US,1694911561
195,garhdiwala,31.7325,75.7506,26.38,81,100,0.36,IN,1694911562
196,la passe,45.5549,-0.8967,21.66,88,100,4.39,FR,1694911562
197,gassol,8.5333,10.4667,24.06,93,100,2.56,NG,1694911563
198,kerikeri,-35.2268,173.9474,18.79,49,0,3.9,NZ,1694911563
199,kudahuvadhoo,2.6708,72.8944,28.07,76,82,6.31,MV,1694911444
200,kapoeta,4.7717,33.5903,25.38,48,85,0.77,SS,1694911564
201,hasaki,35.7333,140.8333,31.84,81,31,5.49,JP,1694911565
202,nuku'alofa,-21.1333,-175.2,25.19,73,75,8.23,TO,1694911566
203,queenstown,-31.8976,26.8753,5.57,58,100,2.24,ZA,1694911567
204,fort st. john,56.2499,-120.8529,19.94,24,75,1.54,CA,1694911567
205,kavadarci,41.4331,22.0119,18.23,77,97,0.54,MK,1694911567
206,sitka,57.0531,-135.33,12.94,76,100,7.72,US,1694911568
207,muang xay,20.7,101.9833,22.59,95,95,0.63,LA,1694911568
208,aykhal,66.0,111.5,1.14,100,100,1.27,RU,1694911569
209,harper,4.375,-7.7169,24.87,89,74,3.67,LR,1694911569
210,port augusta,-32.5,137.7667,30.03,15,0,7.03,AU,1694911570
211,bikenibeu village,1.3673,173.1241,26.98,89,100,2.06,KI,1694911570
212,holly springs,35.6513,-78.8336,22.74,77,2,0.89,US,1694911571
213,ust'-uda,54.1742,103.0304,11.52,57,31,2.18,RU,1694911571
214,kismayo,-0.3582,42.5454,24.75,82,22,5.44,SO,1694911571
215,dickinson,29.4608,-95.0513,27.04,80,40,2.57,US,1694911572
216,anna regina,7.2644,-58.5077,27.78,79,6,4.31,GY,1694911572
217,susuman,62.7833,148.1667,5.09,70,100,5.71,RU,1694911573
218,ati,13.2154,18.3353,28.18,65,21,2.27,TD,1694911573
219,mossel bay,-34.1831,22.146,10.96,69,100,8.65,ZA,1694911573
220,port isabel,26.0734,-97.2086,31.04,75,0,4.47,US,1694911574
221,alofi,-19.0595,-169.9187,26.94,65,90,7.2,NU,1694911574
222,ishigaki,24.3448,124.1572,29.07,70,20,0.0,JP,1694911278
223,portland,45.5234,-122.6762,31.12,44,20,3.09,US,1694910884
224,amos,48.5669,-78.1162,11.46,91,100,1.18,CA,1694911575
225,punta arenas,-53.15,-70.9167,3.06,48,75,3.09,CL,1694911311
226,chonchi,-42.6128,-73.8092,5.56,90,71,3.73,CL,1694911576
227,mariinsk,56.2139,87.7472,10.3,83,58,0.75,RU,1694911577
228,tazacorte,28.629,-17.9293,23.54,91,75,8.23,ES,1694911577
229,sterling,39.0062,-77.4286,21.26,65,20,2.24,US,1694911577
230,az zawr,29.4425,48.2747,35.57,39,0,7.15,KW,1694911578
231,nova sintra,14.8667,-24.7167,23.23,77,14,3.07,CV,1694911578
232,revda,56.801,59.9303,9.47,87,41,0.64,RU,1694911579
233,tanah rata,4.475,101.3704,19.82,87,8,0.69,MY,1694911579
234,constitucion,-35.3333,-72.4167,10.07,87,100,2.7,CL,1694911579
235,kone,-21.0595,164.8658,24.2,67,83,3.39,NC,1694911580
236,hola,51.5377,23.1902,10.1,80,0,3.9,PL,1694911580
237,dryden,49.7833,-92.7503,13.16,88,100,1.03,CA,1694911581
238,arno,60.1167,18.6333,14.88,85,100,4.46,SE,1694911581
239,vallenar,-28.5708,-70.7581,14.22,70,0,1.19,CL,1694911581
240,ilha de mocambique,-15.0342,40.7358,23.86,83,6,4.85,MZ,1694911525
241,val-d'or,48.1002,-77.7828,18.05,72,75,2.06,CA,1694911582
242,igarka,67.4667,86.5833,2.7,78,89,3.5,RU,1694911566
243,grissom air force base,40.6575,-86.1476,17.93,75,0,2.06,US,1694911583
244,olonkinbyen,70.9221,-8.7187,2.35,71,14,3.82,SJ,1694911583
245,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.84,PT,1694911584
246,inirida,3.8653,-67.9239,23.85,95,100,1.19,CO,1694911584
247,itamaraca,-7.7478,-34.8256,26.03,85,80,4.04,BR,1694911585
248,fort mcmurray,56.7268,-111.381,21.77,40,0,3.09,CA,1694911330
249,nadym,65.5333,72.5167,9.99,80,100,5.49,RU,1694911586
250,itoman,26.1247,127.6694,31.01,77,75,5.66,JP,1694911576
251,afif,23.9065,42.9172,26.69,14,20,4.4,SA,1694911587
252,kristiansund,63.1115,7.732,8.36,81,100,0.0,NO,1694911588
253,sinabang,2.4803,96.3801,25.44,88,100,3.65,ID,1694911588
254,columbio,6.6964,124.9372,27.58,81,95,0.35,PH,1694911589
255,paka,4.6374,103.4368,25.96,100,20,0.0,MY,1694911589
256,bonham,33.5773,-96.1783,28.33,53,40,2.06,US,1694911518
257,mount isa,-20.7333,139.5,27.87,23,0,5.66,AU,1694911590
258,ketchikan,55.3422,-131.6461,12.26,87,100,3.82,US,1694911591
259,bocas del toro,9.3333,-82.25,26.73,85,100,1.34,PA,1694911591
260,poronaysk,49.2167,143.1167,17.92,55,46,3.0,RU,1694911592
261,onega,63.9061,38.1404,10.24,98,100,1.09,RU,1694911592
262,san patricio,28.017,-97.5169,28.92,60,40,4.65,US,1694911367
263,kohima,25.6667,94.1167,20.69,92,3,1.01,IN,1694911593
264,bangar,16.8936,120.4243,29.34,74,89,1.07,PH,1694911052
265,iquique,-20.2208,-70.1431,19.02,68,0,0.97,CL,1694911138
266,hwange,-18.3693,26.5019,21.85,33,0,0.8,ZW,1694911595
267,grande prairie,55.1667,-118.8027,20.1,37,0,2.57,CA,1694911512
268,brookings,44.3114,-96.7984,18.0,59,20,4.12,US,1694911595
269,shangmei,27.7428,111.2956,27.65,72,0,1.3,CN,1694911597
270,thompson,55.7435,-97.8558,11.09,82,100,3.6,CA,1694911598
271,mareeba,-17.0,145.4333,25.27,63,0,4.5,AU,1694911600
272,princeville,45.7668,-61.2985,19.08,86,100,6.69,CA,1694911601
273,marmolejo,38.0455,-4.1703,21.48,73,39,2.8,ES,1694911602
274,bereznik,62.8551,42.7072,10.72,88,100,4.09,RU,1694911602
275,isangel,-19.55,169.2667,27.06,69,75,2.06,VU,1694911603
276,praia,14.9215,-23.5087,26.3,73,75,5.14,CV,1694911604
277,vilyuchinsk,52.9306,158.4028,18.15,60,18,13.94,RU,1694911546
278,soure,-0.7167,-48.5233,27.75,75,41,6.17,BR,1694911605
279,kiunga,-6.1219,141.2906,27.59,57,40,1.95,PG,1694911605
280,ryotsu-minato,38.0833,138.4333,28.51,72,94,1.31,JP,1694911606
281,cooma,-36.2333,149.1333,21.69,27,0,5.69,AU,1694911606
282,chyorny yar,48.0624,46.1091,13.49,64,91,3.63,RU,1694911606
283,moratuwa,6.773,79.8816,26.01,87,100,3.1,LK,1694911607
284,veinticinco de mayo,-35.4323,-60.1727,12.21,62,0,0.89,AR,1694911607
285,howrah,22.5892,88.3103,28.0,94,40,0.0,IN,1694911608
286,zaozersk,69.4005,32.4476,6.49,84,100,2.51,RU,1694911608
287,leava,-14.3,-178.1667,27.5,80,100,8.13,WF,1694911609
